context,scope,cancer,geneA,geneB,group,nPatients,nEvents,medianOsMonths,medianOsStatus
KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,A+B,5319,2307,23.638,estimated
PTEN–PIK3CA (pan-cancer),pan-cancer,PAN-CANCER,PTEN,PIK3CA,A−/B−,58373,20779,54.34520548,estimated
PTEN–PIK3CA (pan-cancer),pan-cancer,PAN-CANCER,PTEN,PIK3CA,A only,3351,1249,42.08278581,estimated
PTEN–PIK3CA (pan-cancer),pan-cancer,PAN-CANCER,PTEN,PIK3CA,B only,7513,2513,84.83333333,estimated
PTEN–PIK3CA (pan-cancer),pan-cancer,PAN-CANCER,PTEN,PIK3CA,A+B,1438,308,120.5666667,estimated
IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,A−/B−,41539,12863,70.51977513,estimated
IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,A only,1033,330,85.08399908,estimated
IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,B only,27106,10892,33.48,estimated
IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,A+B,910,274,80,estimated
PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,A−/B−,38415,12410,72.9,estimated
PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,A only,5446,1509,113.7850544,estimated
PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,B only,25169,10266,35.375,estimated
PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,A+B,3505,1312,45.2,estimated
EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,A−/B−,56916,19652,63.81299931,estimated
EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,A only,3492,1204,48.65753425,estimated
EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,B only,9807,3863,30.51,estimated
EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,A+B,184,58,58.51990663,estimated
STK11–TP53 (pan-cancer),pan-cancer,PAN-CANCER,STK11,TP53,A−/B−,40142,12151,87.386,estimated
STK11–TP53 (pan-cancer),pan-cancer,PAN-CANCER,STK11,TP53,A only,1013,445,29.20499343,estimated
