datasetId,context,scope,cancer,geneA,geneB,horizonMonths,nDoubleNegative,nBoth,nDoubleNegativeAtHorizon,nBothAtHorizon,rmstDoubleNegativeMonths,rmstDoubleNegativeSe,rmstBothMonths,rmstBothSe,rmstDifferenceMonths,standardError,ciLow,ciHigh,p,contrast,estimator,adjustment,fitStatus,fdr,fdrFamily
cancer-specific_COADREAD_BRAF_KRAS_positive,BRAF–KRAS (COADREAD),cancer-specific,COADREAD,BRAF,KRAS,60,2803,57,127,1,45.46514339,0.5199743486,44.13410339,3.53004628,-1.33104,3.568136778,-8.324459576,5.662379576,0.7091223745,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.8104255708,scope=cancer-specific; horizonMonths=60
cancer-specific_SKCM_BRAF_NRAS_positive,BRAF–NRAS (SKCM),cancer-specific,SKCM,BRAF,NRAS,36,813,69,188,19,27.07805072,0.4627417017,23.55685215,1.686994554,-3.521198571,1.74930858,-6.949780386,-0.09261675572,0.04412422849,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.07059876559,scope=cancer-specific; horizonMonths=36
cancer-specific_SKCM_BRAF_NRAS_positive,BRAF–NRAS (SKCM),cancer-specific,SKCM,BRAF,NRAS,60,813,69,87,8,39.67290443,0.9155974955,33.89111109,3.08458165,-5.781793331,3.217602015,-12.0881774,0.5245907361,0.0723473382,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.1157557411,scope=cancer-specific; horizonMonths=60
cancer-specific_UCEC_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,36,730,198,154,54,29.54505234,0.4588962266,33.55759333,0.5770712499,4.01254099,0.7372902918,2.567478572,5.457603408,5.260259267e-08,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,1.202344975e-07,scope=cancer-specific; horizonMonths=36
cancer-specific_UCEC_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,60,730,198,30,22,44.63753131,0.9758865115,53.61595719,1.364295743,8.978425874,1.677396005,5.690790116,12.26606163,8.67004989e-08,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,1.981725689e-07,scope=cancer-specific; horizonMonths=60
cancer-specific_UCEC_PTEN_TP53_positive,PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,36,370,282,83,66,31.28612062,0.5602020803,30.36340071,0.6932021031,-0.9227199107,0.8912662489,-2.669569659,0.8241298378,0.3005330397,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.3698868181,scope=cancer-specific; horizonMonths=36
cancer-specific_UCEC_PTEN_TP53_positive,PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,60,370,282,12,24,47.21211503,1.326015765,47.29891787,1.443319675,0.08680284643,1.95997181,-3.754671311,3.928277004,0.9646749935,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.9646749935,scope=cancer-specific; horizonMonths=60
cancer-specific_UCEC_CTNNB1_TP53_positive,CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,36,1068,70,281,18,32.85048258,0.2767553765,32.26486824,1.230506708,-0.5856143406,1.261245534,-3.057610163,1.886381482,0.6424225782,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.6852507501,scope=cancer-specific; horizonMonths=36
cancer-specific_UCEC_CTNNB1_TP53_positive,CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,60,1068,70,60,10,51.02983048,0.6732336775,51.71113117,2.542622735,0.6813006884,2.630242186,-4.473879267,5.836480643,0.7956153042,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.8486563245,scope=cancer-specific; horizonMonths=60
cancer-specific_MDS_SF3B1_SRSF2_positive,SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,36,1991,28,622,5,25.21090672,0.3043208563,23.98809868,2.386554865,-1.222808037,2.405879321,-5.938244858,3.492628784,0.6112722383,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.6852507501,scope=cancer-specific; horizonMonths=36
