scope,cancer,geneA,geneB,context,contrast,nPatients,nEvents,nStudies,nStrata,nDoubleNegative,nAOnly,nBOnly,nDoubleMutant,coefficient,standardError,hazardRatio,ciLow,ciHigh,z,p,phTestP,tiesMethod,fitStatus,globalFdr,withinCancerFdr,fdrFamily,geneAFrequency,geneBFrequency,frequencyThreshold,eligibilityRule
cancer-specific,COADREAD,APC,FBXW7,APC–FBXW7 (COADREAD),A+B versus A−/B−,5693,1305,15,15,1414,3412,184,683,-0.617772133243593,0.112175451973178,0.539144242130047,0.432734034357727,0.671720943450659,-5.50719540128359,3.64595499550745e-08,0.777192347673224,Efron,estimated,1.593985938386766e-06,3.3178190459117795e-06,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.6854602045353491,0.14824366385060025,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,FBXW7,APC–FBXW7 (COADREAD),multiplicative A×B interaction,5693,1305,15,15,1414,3412,184,683,-0.242257059898384,0.192518424191014,0.784854397026554,0.538167064791073,1.14461932889011,-1.25835779570905,0.208262387898679,0.777192347673215,Efron,estimated,0.7138657129315494,0.7570014474963046,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.6854602045353491,0.14824366385060025,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,KMT2D,APC–KMT2D (COADREAD),A+B versus A−/B−,5693,1305,15,15,1343,3689,255,406,-0.652007417611466,0.134732273227724,0.520998864021854,0.400085173539334,0.678455074730171,-4.83928165087399,1.30309267684132e-06,0.117678797645827,Efron,estimated,4.1105151274538855e-05,2.964535839814003e-05,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.6867921162935878,0.10951574065816463,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,KMT2D,APC–KMT2D (COADREAD),multiplicative A×B interaction,5693,1305,15,15,1343,3689,255,406,-0.0823986859808694,0.192565114816172,0.920904733690443,0.631397680972362,1.34315591281145,-0.427900380915461,0.668723649768734,0.117678797645826,Efron,estimated,0.9268838242032733,0.9308794353696772,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.6867921162935878,0.10951574065816463,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,KRAS,APC–KRAS (COADREAD),A+B versus A−/B−,5693,1305,15,15,1162,2243,436,1852,-0.180235470708494,0.0757850231269098,0.835073552897375,0.71980755558766,0.96879760893774,-2.37824656207694,0.0173951901105181,0.997804423262979,Efron,estimated,0.06597992961249788,0.0931154294151263,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.6854602045353491,0.3984882169853268,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,KRAS,APC–KRAS (COADREAD),multiplicative A×B interaction,5693,1305,15,15,1162,2243,436,1852,0.209814633815146,0.131500725542227,1.2334493989551,0.9532080846659,1.59608111204379,1.59553974284174,0.110591590043941,0.99780442326298,Efron,estimated,0.5985975789237007,0.4792302235237443,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.6854602045353491,0.3984882169853268,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,LRP1B,APC–LRP1B (COADREAD),A+B versus A−/B−,1269,372,7,7,396,667,56,150,-0.254514871681667,0.186878880139866,0.775292523101433,0.53751922819884,1.11824557121635,-1.36192421257651,0.173221804056893,0.142278699148379,Efron,estimated,0.28111317546455034,0.5084898119089439,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.5963564530289728,0.15452151009657594,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,LRP1B,APC–LRP1B (COADREAD),multiplicative A×B interaction,1269,372,7,7,396,667,56,150,-0.0377290427286888,0.314966347066933,0.962973830306065,0.519415187702152,1.78531282836898,-0.119787536287714,0.904651455447433,0.142278699148379,Efron,estimated,0.9778420264952425,0.98263280774999,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.5963564530289728,0.15452151009657594,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,MUC16,APC–MUC16 (COADREAD),A+B versus A−/B−,1269,372,7,7,358,606,94,211,-0.113403015194825,0.165852278350708,0.8927907793523,0.645024158714731,1.23572949156623,-0.683759164013566,0.494127256814799,0.166942755566043,Efron,estimated,0.6015991982693621,0.7723073284189401,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.599027409372237,0.15671971706454466,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,MUC16,APC–MUC16 (COADREAD),multiplicative A×B interaction,1269,372,7,7,358,606,94,211,0.0057133080634552,0.262460404477945,1.00572966013461,0.601276951924533,1.6822400160807,0.021768266626044,0.98263280774999,0.166942755566043,Efron,estimated,0.9978750749313777,0.98263280774999,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.599027409372237,0.15671971706454466,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
