context,scope,cancer,geneA,geneB,model,varianceEstimator,adjustmentTerms,nPatients,nEvents,nStudies,nStrata,coefficient,standardError,hazardRatio,ciLow,ciHigh,p,fdr,fitStatus
KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,four-group zero-time sensitivity,model-based,none,6980,2328,17,17,0.4993052115,0.07381495746,1.647576156,1.425653854,1.904043666,1.339716211e-11,3.572576562e-11,estimated
KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,four-group zero-time study-clustered sensitivity,study-clustered sandwich,none,6980,2328,17,17,0.4993052115,0.0401248381,1.647576156,1.522969388,1.782378038,1.511505197e-35,6.046020789e-35,estimated
KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,four-group age/sex complete-case,model-based,standardised age + recorded sex,480,258,5,5,0.6416148394,0.1884142214,1.899545865,1.3130199,2.748072969,0.000660812682,0.005286501456,estimated
KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,four-group primary,model-based,none,3793,1882,14,14,1.071145624,0.08409253877,2.918721343,2.475215039,3.441694618,3.649919038e-37,2.91993523e-36,estimated
KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,four-group study-clustered sensitivity,study-clustered sandwich,none,3793,1882,14,14,1.071145624,0.1331216428,2.918721343,2.248429559,3.788837522,8.528781707e-16,1.705756341e-15,estimated
KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,four-group zero-time sensitivity,model-based,none,3846,1916,14,14,1.065031022,0.08349381972,2.900928975,2.463014835,3.416702489,2.893637845e-37,2.314910276e-36,estimated
KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,four-group zero-time study-clustered sensitivity,study-clustered sandwich,none,3846,1916,14,14,1.065031022,0.1296021224,2.900928975,2.250191963,3.739853779,2.07447635e-16,4.148952699e-16,estimated
PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,four-group age/sex complete-case,model-based,standardised age; omitted as non-estimable within strata: recorded sex,574,123,3,3,-0.5090995223,0.4150259985,0.6010365552,0.2664588298,1.355725164,0.2199470275,0.3519152441,estimated
PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,four-group primary,model-based,none,2526,516,7,7,-0.8924903908,0.237484767,0.4096343318,0.2571869618,0.6524447611,0.0001712116642,0.0003913409469,estimated
PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,four-group zero-time sensitivity,model-based,none,2538,524,7,7,-0.859579729,0.2321680634,0.4233399624,0.2685761556,0.6672845673,0.0002135670432,0.0004881532417,estimated
PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,four-group age/sex complete-case,model-based,standardised age + recorded sex,1071,151,1,1,0.4024129674,0.2887659997,1.495428769,0.8491172555,2.633684791,0.1634502835,0.3012875863,estimated
PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,four-group primary,model-based,none,8826,2777,8,8,0.7209453458,0.06079259205,2.056376279,1.825390716,2.316590834,1.930420142e-32,1.029557409e-31,estimated
PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,four-group zero-time sensitivity,model-based,none,8862,2792,8,8,0.7274361598,0.06057964964,2.069767247,1.838044488,2.330703355,3.228267269e-33,1.721742543e-32,estimated
PTEN–PIK3CA (UCEC),cancer-specific,UCEC,PTEN,PIK3CA,four-group age/sex complete-case,model-based,standardised age; omitted as non-estimable within strata: recorded sex,574,123,3,3,-0.7768884032,0.2599167831,0.4598346074,0.2762867683,0.7653202775,0.002799022168,0.01119608867,estimated
PTEN–PIK3CA (UCEC),cancer-specific,UCEC,PTEN,PIK3CA,four-group primary,model-based,none,2526,516,7,7,-0.9824759783,0.1285132433,0.3743829862,0.29102174,0.4816225082,2.090434934e-14,6.689391789e-14,estimated
PTEN–PIK3CA (UCEC),cancer-specific,UCEC,PTEN,PIK3CA,four-group zero-time sensitivity,model-based,none,2538,524,7,7,-0.9753663926,0.1272716389,0.3770541784,0.2938122794,0.48387989,1.807098334e-14,5.782714669e-14,estimated
PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,four-group age/sex complete-case,model-based,standardised age; omitted as non-estimable within strata: recorded sex,574,123,3,3,0.03922163471,0.3629811707,1.040000958,0.5105797741,2.118380023,0.9139527101,0.9139527101,estimated
PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,four-group primary,model-based,none,2526,516,7,7,0.122324659,0.1806684977,1.130120946,0.7931213127,1.610312739,0.4983635111,0.5503165,estimated
PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,four-group zero-time sensitivity,model-based,none,2538,524,7,7,0.1074485119,0.1800352517,1.113433531,0.7823804895,1.584566901,0.5506280346,0.5873365702,estimated
SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,four-group age/sex complete-case,model-based,standardised age + recorded sex,3117,1598,1,1,0.1318099191,0.2610108926,1.140891437,0.6840241671,1.902905385,0.6135604011,0.7962213481,estimated
SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,four-group primary,model-based,none,3269,1656,3,3,0.3433567806,0.2604134482,1.409671616,0.846162211,2.348455223,0.1873342066,0.2724861187,estimated
SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,four-group zero-time sensitivity,model-based,none,3322,1656,3,3,0.3433567806,0.2604134482,1.409671616,0.846162211,2.348455223,0.1873342066,0.2724861187,estimated
STK11–TP53 (LUAD),cancer-specific,LUAD,STK11,TP53,four-group age/sex complete-case,model-based,standardised age + recorded sex,1154,405,5,5,0.8976095158,0.2578121819,2.453730491,1.48039201,4.067026355,0.0004983509496,0.005286501456,estimated
STK11–TP53 (LUAD),cancer-specific,LUAD,STK11,TP53,four-group primary,model-based,none,6925,2288,17,17,0.8518558922,0.09101012958,2.343993016,1.961048572,2.80171707,7.972774287e-21,3.189109715e-20,estimated
STK11–TP53 (LUAD),cancer-specific,LUAD,STK11,TP53,four-group study-clustered sensitivity,study-clustered sandwich,none,6925,2288,17,17,0.8518558922,0.05827684294,2.343993016,2.090985276,2.627614514,2.175526095e-48,1.740420876e-47,estimated
STK11–TP53 (LUAD),cancer-specific,LUAD,STK11,TP53,four-group zero-time sensitivity,model-based,none,6980,2328,17,17,0.8641595285,0.08969609774,2.3730108,1.990445349,2.829105686,5.727849303e-22,2.291139721e-21,estimated
STK11–TP53 (LUAD),cancer-specific,LUAD,STK11,TP53,four-group zero-time study-clustered sensitivity,study-clustered sandwich,none,6980,2328,17,17,0.8641595285,0.05531293118,2.3730108,2.129203946,2.644735027,5.067941278e-55,4.054353022e-54,estimated
BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,four-group age/sex complete-case,model-based,standardised age + recorded sex,17697,6664,71,82,0.0788271745,0.2519960278,1.082017306,0.6602901204,1.773101571,0.7544241219,0.7544241219,estimated
BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,four-group primary,model-based,none,69819,24369,118,278,-0.0695677212,0.1214985517,0.9327969611,0.7351354531,1.183605235,0.5669286562,0.6141727109,estimated
BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,four-group study-clustered sensitivity,study-clustered sandwich,none,69819,24369,118,278,-0.0695677212,0.1263250692,0.9327969611,0.7282140079,1.194855031,0.5818366004,0.6303229838,estimated
BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,four-group zero-time sensitivity,model-based,none,70382,24654,118,278,-0.05466244267,0.1197841914,0.9468046949,0.7486863483,1.197349374,0.6481447554,0.7021568183,estimated
BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,four-group zero-time study-clustered sensitivity,study-clustered sandwich,none,70382,24654,118,278,-0.05466244267,0.1163609182,0.9468046949,0.7537265432,1.189342658,0.6385219652,0.691732129,estimated
BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,four-group age/sex complete-case,model-based,standardised age + recorded sex,17691,6586,68,78,0.1064539051,0.2297519828,1.112326653,0.7090340654,1.745008657,0.6431187401,0.6967119684,estimated
BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,four-group primary,model-based,none,69778,24345,112,259,0.2439234276,0.1300421881,1.276246602,0.9891052054,1.646746351,0.06069300432,0.07890090562,estimated
