datasetId,context,scope,cancer,geneA,geneB,term,chiSquare,degreesFreedom,phTestP,transform,diagnostic,tiesMethod,phFdr,phFdrFamily
pan-cancer_PAN-CANCER_KRAS_TP53_positive,KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,Both,3.377797055,1,0.06608032395,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.1742117632,all 29 primary A+B coefficient-level PH tests
pan-cancer_PAN-CANCER_KRAS_TP53_positive,KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,GLOBAL,102.3714984,3,4.803115436e-22,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_PTEN_PIK3CA_positive,PTEN–PIK3CA (pan-cancer),pan-cancer,PAN-CANCER,PTEN,PIK3CA,A_only,0.04872728068,1,0.8252928856,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_PTEN_PIK3CA_positive,PTEN–PIK3CA (pan-cancer),pan-cancer,PAN-CANCER,PTEN,PIK3CA,B_only,3.249991798,1,0.07142381512,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_PTEN_PIK3CA_positive,PTEN–PIK3CA (pan-cancer),pan-cancer,PAN-CANCER,PTEN,PIK3CA,Both,1.3970469,1,0.2372186421,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.491381473,all 29 primary A+B coefficient-level PH tests
pan-cancer_PAN-CANCER_PTEN_PIK3CA_positive,PTEN–PIK3CA (pan-cancer),pan-cancer,PAN-CANCER,PTEN,PIK3CA,GLOBAL,4.38413443,3,0.2228610105,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_IDH1_TP53_positive,IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,A_only,0.435140398,1,0.5094773528,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_IDH1_TP53_positive,IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,B_only,23.45925268,1,1.275876085e-06,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_IDH1_TP53_positive,IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,Both,0.001161435309,1,0.9728134867,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.9728134867,all 29 primary A+B coefficient-level PH tests
pan-cancer_PAN-CANCER_IDH1_TP53_positive,IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,GLOBAL,24.46656433,3,1.995957225e-05,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_PIK3CA_TP53_positive,PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,A_only,3.51431327,1,0.06084086594,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_PIK3CA_TP53_positive,PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,B_only,56.34195167,1,6.090205296e-14,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
