datasetId,context,scope,cancer,geneA,geneB,interval,lowerMonths,upperMonths,nAtRiskAtIntervalStart,nEventsInInterval,nBothAtRiskAtIntervalStart,nDoubleNegativeAtRiskAtIntervalStart,coefficient,standardError,hazardRatio,ciLow,ciHigh,p,contrast,model,baselineHazards,tiesMethod,fitStatus,fdr,fdrFamily
cancer-specific_UCEC_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,12–36 months,12,36,1717,229,141,475,-0.5476524478,0.3272160889,0.5783058212,0.3045304499,1.098207496,0.0941950544,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.150712087,scope=cancer-specific; interval=12–36 months
cancer-specific_UCEC_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,>36 months,36,,585,59,54,154,-1.00426882,0.7619859763,0.3663123772,0.08227122317,1.631004774,0.1875162554,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.4018205472,scope=cancer-specific; interval=>36 months
cancer-specific_UCEC_PTEN_TP53_positive,PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,0–12 months,0,12,2526,228,282,370,0.6279082055,0.279376917,1.873687109,1.083654917,3.239687586,0.02460612912,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.04921225823,scope=cancer-specific; interval=0–12 months
cancer-specific_UCEC_PTEN_TP53_positive,PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,12–36 months,12,36,1717,229,194,253,-0.03525601833,0.2565696695,0.9653582352,0.5838429054,1.596176838,0.8907043242,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.9500846124,scope=cancer-specific; interval=12–36 months
cancer-specific_UCEC_PTEN_TP53_positive,PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,>36 months,36,,585,59,66,83,-2.187339734,1.062272654,0.1122148733,0.01399079204,0.9000332328,0.03948338743,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.1480627029,scope=cancer-specific; interval=>36 months
cancer-specific_UCEC_CTNNB1_TP53_positive,CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,0–12 months,0,12,2526,228,70,1068,0.5866870939,0.4707719364,1.79802186,0.7146167127,4.52393927,0.2126823198,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.2835764264,scope=cancer-specific; interval=0–12 months
cancer-specific_UCEC_CTNNB1_TP53_positive,CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,12–36 months,12,36,1717,229,51,772,-0.1544804216,0.5142417894,0.8568602679,0.3127422819,2.347650322,0.7638688185,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.9500846124,scope=cancer-specific; interval=12–36 months
cancer-specific_UCEC_CTNNB1_TP53_positive,CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,>36 months,36,,585,59,18,281,-16.90463599,3548.413442,4.554176635e-08,0,inf,0.9961988936,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.9961988936,scope=cancer-specific; interval=>36 months
cancer-specific_MDS_SF3B1_SRSF2_positive,SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,0–12 months,0,12,3269,611,28,1991,-0.3648114324,0.5024824394,0.6943275662,0.2593286983,1.858995061,0.4678275692,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.5346600791,scope=cancer-specific; interval=0–12 months
cancer-specific_MDS_SF3B1_SRSF2_positive,SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,12–36 months,12,36,2187,689,17,1283,0.6388983871,0.3372266406,1.894392842,0.9781877215,3.668747992,0.05814982072,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.1033774591,scope=cancer-specific; interval=12–36 months
